##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU2_MOCK2_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65915836
Sequences flagged as poor quality	0
Sequence length	50-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.356284034689324	37.0	37.0	37.0	37.0	37.0
2	36.34641900013223	37.0	37.0	37.0	37.0	37.0
3	36.54310980748238	37.0	37.0	37.0	37.0	37.0
4	36.59531237683157	37.0	37.0	37.0	37.0	37.0
5	36.62657301350164	37.0	37.0	37.0	37.0	37.0
6	36.64487999515018	37.0	37.0	37.0	37.0	37.0
7	36.64490062752144	37.0	37.0	37.0	37.0	37.0
8	36.651830024578615	37.0	37.0	37.0	37.0	37.0
9	36.652681109892924	37.0	37.0	37.0	37.0	37.0
10-14	36.649672160723256	37.0	37.0	37.0	37.0	37.0
15-19	36.63953011837702	37.0	37.0	37.0	37.0	37.0
20-24	36.62473887458546	37.0	37.0	37.0	37.0	37.0
25-29	36.5884771968909	37.0	37.0	37.0	37.0	37.0
30-34	36.56921976078707	37.0	37.0	37.0	37.0	37.0
35-39	36.5505817479126	37.0	37.0	37.0	37.0	37.0
40-44	36.53765225703881	37.0	37.0	37.0	37.0	37.0
45-49	36.52102248084967	37.0	37.0	37.0	37.0	37.0
50-54	36.503180585628094	37.0	37.0	37.0	37.0	37.0
55-59	36.4815259756497	37.0	37.0	37.0	37.0	37.0
60-64	36.4636396683596	37.0	37.0	37.0	37.0	37.0
65-69	36.438469252388664	37.0	37.0	37.0	37.0	37.0
70-74	36.41596998249584	37.0	37.0	37.0	37.0	37.0
75-79	36.39927595870021	37.0	37.0	37.0	37.0	37.0
80-84	36.3779422224662	37.0	37.0	37.0	37.0	37.0
85-89	36.379311512942266	37.0	37.0	37.0	37.0	37.0
90-94	36.35909938675549	37.0	37.0	37.0	37.0	37.0
95-99	36.33179261740067	37.0	37.0	37.0	37.0	37.0
100-104	36.310725273298274	37.0	37.0	37.0	37.0	37.0
105-109	36.25837987316619	37.0	37.0	37.0	37.0	37.0
110-114	36.25568245377987	37.0	37.0	37.0	37.0	37.0
115-119	36.20914404396269	37.0	37.0	37.0	37.0	37.0
120-124	36.177481226781566	37.0	37.0	37.0	37.0	37.0
125-129	36.142360472382464	37.0	37.0	37.0	37.0	37.0
130-134	36.0868047692692	37.0	37.0	37.0	37.0	37.0
135-139	36.02922157912041	37.0	37.0	37.0	37.0	37.0
140-144	35.95935015911611	37.0	37.0	37.0	37.0	37.0
145-149	35.9106209218676	37.0	37.0	37.0	37.0	37.0
150-151	35.73030895061564	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.07707163342031009
1101	2	0.03247269356094051
1101	3	0.006819026395071148
1101	4	-0.012724354107497504
1101	5	0.021107923797181627
1101	6	0.02883984803533224
1101	7	0.03859333879556459
1101	8	0.011880250564786365
1101	9	0.02303181000276311
1101	10-14	8.244047407046651E-4
1101	15-19	-0.0017631821115742241
1101	20-24	-0.005885113867535097
1101	25-29	-0.002144622450401812
1101	30-34	-0.03256268925085237
1101	35-39	-0.032111267236658136
1101	40-44	-0.045469639457309086
1101	45-49	-0.04993562898886239
1101	50-54	-0.045052653948808086
1101	55-59	-0.060546664790315674
1101	60-64	-0.08116693966074706
1101	65-69	-0.09219343455795581
1101	70-74	-0.0847947889272973
1101	75-79	-0.09447429025568255
1101	80-84	-0.09860581966438531
1101	85-89	-0.09254743404612498
1101	90-94	-0.12544869584201734
1101	95-99	-0.12855745513377315
1101	100-104	-0.13985486849015416
1101	105-109	-0.10663937441205462
1101	110-114	-0.1621580221820551
1101	115-119	-0.2001009386934527
1101	120-124	-0.17377798894995777
1101	125-129	-0.18509030767707912
1101	130-134	-0.16978938525441123
1101	135-139	-0.17967636489191818
1101	140-144	-0.1885580847959787
1101	145-149	-0.08205047032009816
1101	150-151	-0.12785721757060742
1102	1	0.030591394760094204
1102	2	-0.020035120029547215
1102	3	0.025621188162332942
1102	4	-0.012327974238253603
1102	5	-0.013801432773327349
1102	6	0.02466432307620181
1102	7	0.027491095850770364
1102	8	0.05042222229743487
1102	9	0.0066180768101133935
1102	10-14	-0.007774677944496489
1102	15-19	0.0021444737476983278
1102	20-24	-0.02065319436420765
1102	25-29	-0.023724273100903304
1102	30-34	-0.01895378578911533
1102	35-39	-0.04554813096908106
1102	40-44	-0.03600808087756491
1102	45-49	-0.05071316237669521
1102	50-54	-0.03925889948938277
1102	55-59	-0.04166865297096223
1102	60-64	-0.0985527554201795
1102	65-69	-0.08219573104580036
1102	70-74	-0.05634852314775429
1102	75-79	-0.10354174427971685
1102	80-84	-0.0965523428444115
1102	85-89	-0.09564386673747549
1102	90-94	-0.1128856211875302
1102	95-99	-0.11708326337814157
1102	100-104	-0.1140148370195675
1102	105-109	-0.0701810784202479
1102	110-114	-0.13862097262118311
1102	115-119	-0.16694160849942818
1102	120-124	-0.0634884792951027
1102	125-129	-0.14399372189376436
1102	130-134	-0.12147532225441182
1102	135-139	-0.0895277092648854
1102	140-144	-0.12483037485493043
1102	145-149	-0.0762205545921546
1102	150-151	0.007079305272441161
1103	1	0.09854678427412722
1103	2	0.024235464222414294
1103	3	0.013816689280552907
1103	4	-0.010342044517187787
1103	5	0.062489345772576144
1103	6	0.06441431404130782
1103	7	0.017637971982594536
1103	8	0.04507476852473502
1103	9	-0.007425270965626396
1103	10-14	0.03599385775819286
1103	15-19	0.014967821707614348
1103	20-24	0.011608066155424979
1103	25-29	0.026891004295308107
1103	30-34	-0.005032294547227423
1103	35-39	0.016812406023333892
1103	40-44	0.022273098794009627
1103	45-49	0.010346160247387104
1103	50-54	0.008436292771634157
1103	55-59	-0.004890124411545571
1103	60-64	9.395427666731848E-4
1103	65-69	-0.06212679697661372
1103	70-74	0.001037240363594094
1103	75-79	-0.054656763151569976
1103	80-84	-0.024005148987633618
1103	85-89	-0.015241860244685768
1103	90-94	-0.03865280354499134
1103	95-99	-0.031062998829867183
1103	100-104	-0.060504652723501806
1103	105-109	0.003373320945492253
1103	110-114	-0.04132361210970714
1103	115-119	-0.06612471464603686
1103	120-124	-0.0039920162805984205
1103	125-129	-0.06312359248919108
1103	130-134	-0.025144272290738456
1103	135-139	-0.03289214293392462
1103	140-144	0.018388200872479388
1103	145-149	0.07325736573552177
1103	150-151	0.030404367307184543
1104	1	0.12161112033469124
1104	2	0.0592142747993023
1104	3	0.03714941356508916
1104	4	-0.007643106182960935
1104	5	-0.01484627206598077
1104	6	0.061612952506386875
1104	7	0.024245996746408593
1104	8	0.03435677794404768
1104	9	0.03945620588088161
1104	10-14	0.025189929124358912
1104	15-19	0.02453071057359324
1104	20-24	0.006704753192899204
1104	25-29	0.011699418856544241
1104	30-34	0.006926578048705778
1104	35-39	-0.0036636876360560677
1104	40-44	-0.013956782760693898
1104	45-49	-0.00952456241824251
1104	50-54	-0.0243903977721871
1104	55-59	-0.0023571092025918006
1104	60-64	-0.024053644236403215
1104	65-69	-0.03454908728780737
1104	70-74	-0.022035964242604678
1104	75-79	0.0199205807227969
1104	80-84	-0.0050237303513469556
1104	85-89	-0.008607972747903148
1104	90-94	-0.014719699599218927
1104	95-99	-0.05774353481849914
1104	100-104	-0.0585961116210143
1104	105-109	-0.02403026345732684
1104	110-114	-0.03957496579525355
1104	115-119	-0.12260887402204901
1104	120-124	-0.05542907887301851
1104	125-129	-0.04883067894486004
1104	130-134	-0.05579817699402412
1104	135-139	-0.03588029922533309
1104	140-144	0.013199506851925946
1104	145-149	0.05667672547816238
1104	150-151	0.03375424323770915
1105	1	0.03146654045672648
1105	2	0.025007924209376142
1105	3	0.0048906289949783854
1105	4	0.02904369426432396
1105	5	0.018892015166180443
1105	6	0.027131455006184524
1105	7	-0.025381309707384503
1105	8	0.04603645528702316
1105	9	0.0133721773242641
1105	10-14	0.016949090072934325
1105	15-19	0.012797027693913776
1105	20-24	0.0029000054836103573
1105	25-29	-0.005031293488016786
1105	30-34	0.004303260256605768
1105	35-39	-0.006196662605063352
1105	40-44	-0.015362162708321137
1105	45-49	-0.017250232001572385
1105	50-54	-7.089437028824364E-4
1105	55-59	6.770268673363944E-4
1105	60-64	-0.02332145668944463
1105	65-69	-0.02932162892614798
1105	70-74	-0.043312594753039946
1105	75-79	0.017699924353699714
1105	80-84	-0.062281721907510246
1105	85-89	-0.030913449952315375
1105	90-94	-0.047978529880467136
1105	95-99	-0.03916534572464769
1105	100-104	-0.07337909581838176
1105	105-109	-0.028311224426012416
1105	110-114	-0.05883769084097423
1105	115-119	-0.07448198519888649
1105	120-124	-0.025614669440919613
1105	125-129	-0.0466959757693175
1105	130-134	-0.022370618986201407
1105	135-139	0.0014254410388758743
1105	140-144	-0.01221580594122429
1105	145-149	0.062483756899467835
1105	150-151	0.09954848097738989
1106	1	0.0434111351415325
1106	2	0.10372894777025721
1106	3	0.030015536682164168
1106	4	-0.013353546531490679
1106	5	0.04022711835181525
1106	6	0.024024151187134635
1106	7	0.01501599937319753
1106	8	-0.003289850267037764
1106	9	0.013471759274381157
1106	10-14	0.0246462682327504
1106	15-19	0.00950341194477744
1106	20-24	0.01870630491981018
1106	25-29	0.03326700851135911
1106	30-34	0.03098437359252415
1106	35-39	0.013595149357556124
1106	40-44	0.008060261425846704
1106	45-49	0.03488486746448416
1106	50-54	0.03893748378321504
1106	55-59	0.032182337064867284
1106	60-64	0.028746014226648242
1106	65-69	0.016650817942981178
1106	70-74	0.02157688471732655
1106	75-79	0.023761227712846278
1106	80-84	0.04128441551916495
1106	85-89	0.027916179451764833
1106	90-94	0.012403458430831904
1106	95-99	0.03185297550105304
1106	100-104	0.04119633237984743
1106	105-109	0.04358191305394854
1106	110-114	0.03859815727183502
1106	115-119	0.012793320175532585
1106	120-124	0.020555252495853438
1106	125-129	0.006195414373344477
1106	130-134	0.013148948614464473
1106	135-139	0.021837473696905363
1106	140-144	0.056329716102169414
1106	145-149	0.14841941301007466
1106	150-151	0.14527655463160727
1107	1	0.08668135805577748
1107	2	0.021792546128608592
1107	3	0.01618185006435624
1107	4	0.03547613667566196
1107	5	0.03057296783356378
